token	df
000	5
1	1
100	1
120	1
125	1
13	1
14th	1
151	1
15th	2
16	1
1774	1
1776	3
1778	1
1780	1
1787	4
1789	3
1790	1
1800	1
1801	1
1812	1
1815	1
1816	1
1817	1
1818	1
1826	1
1850	1
1861	2
1868	1
1873	1
1880	1
1886	1
1890	1
1893	1
1896	1
1897	2
1898	1
1899	1
18th	2
1907	1
1917	1
1933	1
1941	1
1945	1
1972	1
1980	1
1984	1
19th	1
2	1
20	4
200	2
200th	2
2017	1
20th	2
21st	2
225	1
25	1
3	1
30	1
30th	1
3d	1
4	8
40	1
400	1
41	1
48	1
4th	1
5	2
50	2
50th	1
6	1
60	2
67	1
6th	1
7	1
8	1
8212	1
9	1
a	57
abandon	7
abandoned	5
abandonment	4
abate	1
abdicated	1
abeyance	1
abhorring	1
abide	1
abiding	12
abilities	5
ability	19
abject	1
able	14
ably	1
abnormal	1
abode	1
abodes	1
abolish	2
abolished	2
abolishing	1
aboriginal	5
aborigines	1
abound	1
abounding	1
abounds	1
about	32
above	18
abraham	3
abreast	2
abridging	1
abroad	18
absence	5
absent	2
absolute	8
absolutely	3
absolutism	1
absorb	1
absorbed	1
absorbing	1
absorbs	1
abstain	2
abstaining	1
abstract	1
abstractions	1
absurd	1
abundance	5
abundant	6
abundantly	3
abuse	6
abused	2
abuses	9
academies	1
accept	19
acceptance	5
accepted	8
accepting	3
accepts	1
access	3
accessible	3
accession	4
accident	1
accidental	1
accidents	1
acclaim	1
accommodation	1
accommodations	1
accompanied	3
accompany	1
accomplish	8
accomplished	15
accomplishing	3
accomplishment	7
accomplishments	2
accord	5
accordance	7
accorded	1
according	9
accordingly	2
accords	1
account	8
accountability	7
accountable	2
accounted	2
accrue	1
accrued	1
accruing	1
accumulate	1
accumulated	1
accumulation	3
accurately	1
accustom	1
achieve	13
achieved	7
achievement	10
achievements	7
achieving	1
acility	1
acknowledge	6
acknowledged	7
acknowledging	2
acknowledgment	1
acquaintance	1
acquainted	2
acquiesce	2
acquiesced	2
acquiescence	6
acquire	2
acquired	4
acquires	1
acquiring	1
acquisition	5
acquisitions	2
acquit	1
acrimony	1
across	14
act	28
acted	7
acting	8
action	30
actions	9
active	5
actively	1
activism	1
activities	5
activity	5
acts	13
actual	8
actually	3
actuate	1
actuated	2
acute	1
adams	1
adapted	7
add	15
added	8
addiction	1
adding	2
addition	4
additional	7
additions	1
address	7
addressed	3
addresses	1
addressing	2
adds	4
adduced	1
adequate	12
adequately	3
adhere	4
adhered	1
adherence	6
adheres	1
adjective	1
adjunct	1
adjust	6
adjusted	4
adjusting	1
adjustment	8
adjustments	1
administer	9
administered	9
administering	3
administrated	1
administration	32
administrations	6
administrative	5
administrators	1
admirable	2
admirably	1
admiration	4
admission	5
admissions	1
admit	5
admitted	11
admitting	1
admonish	2
admonished	2
admonishes	1
admonition	4
admonitions	1
adopt	10
adopted	12
adopting	1
adoption	11
adore	1
adoring	1
adorn	1
adorns	1
advance	21
advanced	10
advancement	10
advances	4
advancing	8
advantage	14
advantageous	3
advantageously	2
advantages	10
adventure	1
adventurers	1
adventurously	1
adversaries	5
adversary	2
adverse	4
adverted	1
advice	4
advisable	2
advised	2
advisers	1
advisory	1
advocacy	2
advocate	2
advocated	3
advocates	1
aegis	3
affairs	26
affect	6
affected	5
affecting	10
affection	7
affectionate	3
affections	6
affiliation	1
affirm	3
affirmation	1
affirmations	1
affirmed	1
affirms	2
afflict	1
affliction	1
afford	17
afforded	7
affording	2
affords	1
afghanistan	1
afield	1
afloat	1
afraid	3
afresh	1
africa	2
african	2
after	24
aftermath	1
again	30
against	42
age	14
aged	2
agencies	6
agency	5
agent	3
agents	8
ages	10
aggrandizement	3
aggravated	1
aggravation	1
aggregate	3
aggregations	1
aggression	11
aggressive	1
aggressor	1
aggressors	2
agitate	2
agitated	2
agitating	1
agitation	5
agitations	1
ago	26
agonizing	1
agony	2
agree	8
agreeably	1
agreed	2
agreeing	1
agreement	4
agreements	2
agricultural	10
agriculture	17
agriculturists	1
ahead	6
aid	24
aided	5
aids	6
aim	7
aimed	3
aims	4
air	5
airports	2
alacrity	1
alamo	1
alarm	4
alarmed	3
alert	3
alien	3
alienate	1
alienated	1
alienation	1
aliens	2
alike	12
aliment	1
alive	3
all	58
allayed	2
allegation	1
allegations	1
alleged	3
alleghanies	1
allegiance	5
alleviate	2
alliance	5
alliances	10
allied	1
allies	10
allocating	1
allotted	3
allow	6
allowed	6
allowing	1
allows	3
allude	1
allured	1
alluring	3
allusion	1
ally	3
almighty	25
almost	18
alone	33
along	13
alongside	1
