token	year	seq
fellow	1789	0
citizens	1789	1
of	1789	2
the	1789	3
senate	1789	4
and	1789	5
of	1789	6
the	1789	7
house	1789	8
of	1789	9
representatives	1789	10
among	1789	11
the	1789	12
vicissitudes	1789	13
incident	1789	14
to	1789	15
life	1789	16
no	1789	17
event	1789	18
could	1789	19
have	1789	20
filled	1789	21
me	1789	22
with	1789	23
greater	1789	24
anxieties	1789	25
than	1789	26
that	1789	27
of	1789	28
which	1789	29
the	1789	30
notification	1789	31
was	1789	32
transmitted	1789	33
by	1789	34
your	1789	35
order	1789	36
and	1789	37
received	1789	38
on	1789	39
the	1789	40
14th	1789	41
day	1789	42
of	1789	43
the	1789	44
present	1789	45
month	1789	46
on	1789	47
the	1789	48
one	1789	49
hand	1789	50
i	1789	51
was	1789	52
summoned	1789	53
by	1789	54
my	1789	55
country	1789	56
whose	1789	57
voice	1789	58
i	1789	59
can	1789	60
never	1789	61
hear	1789	62
but	1789	63
with	1789	64
veneration	1789	65
and	1789	66
love	1789	67
from	1789	68
a	1789	69
retreat	1789	70
which	1789	71
i	1789	72
had	1789	73
chosen	1789	74
with	1789	75
the	1789	76
fondest	1789	77
predilection	1789	78
and	1789	79
in	1789	80
my	1789	81
flattering	1789	82
hopes	1789	83
with	1789	84
an	1789	85
immutable	1789	86
decision	1789	87
as	1789	88
the	1789	89
asylum	1789	90
of	1789	91
my	1789	92
declining	1789	93
years	1789	94
8212	1789	95
a	1789	96
retreat	1789	97
which	1789	98
was	1789	99
rendered	1789	100
every	1789	101
day	1789	102
more	1789	103
necessary	1789	104
as	1789	105
well	1789	106
as	1789	107
more	1789	108
dear	1789	109
to	1789	110
me	1789	111
by	1789	112
the	1789	113
addition	1789	114
of	1789	115
habit	1789	116
to	1789	117
inclination	1789	118
and	1789	119
of	1789	120
frequent	1789	121
interruptions	1789	122
in	1789	123
my	1789	124
health	1789	125
to	1789	126
the	1789	127
gradual	1789	128
waste	1789	129
committed	1789	130
on	1789	131
it	1789	132
by	1789	133
time	1789	134
on	1789	135
the	1789	136
other	1789	137
hand	1789	138
the	1789	139
magnitude	1789	140
and	1789	141
difficulty	1789	142
of	1789	143
the	1789	144
trust	1789	145
to	1789	146
which	1789	147
the	1789	148
voice	1789	149
of	1789	150
my	1789	151
country	1789	152
called	1789	153
me	1789	154
being	1789	155
sufficient	1789	156
to	1789	157
awaken	1789	158
in	1789	159
the	1789	160
wisest	1789	161
and	1789	162
most	1789	163
experienced	1789	164
of	1789	165
her	1789	166
citizens	1789	167
a	1789	168
distrustful	1789	169
scrutiny	1789	170
into	1789	171
his	1789	172
qualifications	1789	173
could	1789	174
not	1789	175
but	1789	176
overwhelm	1789	177
with	1789	178
despondence	1789	179
one	1789	180
who	1789	181
inheriting	1789	182
inferior	1789	183
endowments	1789	184
from	1789	185
nature	1789	186
and	1789	187
unpracticed	1789	188
in	1789	189
the	1789	190
duties	1789	191
of	1789	192
civil	1789	193
administration	1789	194
ought	1789	195
to	1789	196
be	1789	197
peculiarly	1789	198
conscious	1789	199
of	1789	200
his	1789	201
own	1789	202
deficiencies	1789	203
in	1789	204
this	1789	205
conflict	1789	206
of	1789	207
emotions	1789	208
all	1789	209
i	1789	210
dare	1789	211
aver	1789	212
is	1789	213
that	1789	214
it	1789	215
has	1789	216
been	1789	217
my	1789	218
faithful	1789	219
study	1789	220
to	1789	221
collect	1789	222
my	1789	223
duty	1789	224
from	1789	225
a	1789	226
just	1789	227
appreciation	1789	228
of	1789	229
every	1789	230
circumstance	1789	231
by	1789	232
which	1789	233
it	1789	234
might	1789	235
be	1789	236
affected	1789	237
all	1789	238
i	1789	239
dare	1789	240
hope	1789	241
is	1789	242
that	1789	243
if	1789	244
in	1789	245
executing	1789	246
this	1789	247
task	1789	248
i	1789	249
have	1789	250
been	1789	251
too	1789	252
much	1789	253
swayed	1789	254
