token	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017
000									5.0														2.0	2.0					2.0		2.0																											
1																																										1.0																
100																															1.0																											
120									1.0																																																	
125																													1.0																													
13																																																		1.0								
14th	1.0																																																									
151			1.0																																																							
15th																												1.0			1.0																											
16																																									1.0																	
1774																			1.0																																							
1776																			1.0					1.0																																	1.0	
1778																			1.0																																							
1780																								1.0																																		
1787																			1.0					1.0														1.0		1.0																		
1789																										1.0													2.0									1.0										
1790																										1.0																																
1800																																																		1.0								
1801									1.0																																																	
1812															1.0																																											
1815									2.0																																																	
1816									1.0																																																	
1817									2.0																																																	
1818									2.0																																																	
1826																																																		1.0								
1850																	1.0																																									
1861																						1.0							1.0																													
1868																						1.0																																				
1873																							1.0																																			
1880																										1.0																																
1886																												1.0																														
1890																												2.0																														
1893																												1.0																														
1896																													1.0																													
1897																												1.0	1.0																													
1898																													1.0																													
1899																													1.0																													
18th																																				5.0																	1.0					
1907																															1.0																											
1917																																																	1.0									
1933																																						1.0																				
1941																																							1.0																			
1945																																								1.0																		
1972																																															1.0											
1980																																																		2.0								
1984																																																		1.0								
19th																																																					2.0					
2																																										1.0																
20									1.0																				1.0																	1.0												1.0
200																																																			2.0						1.0	
200th																																														1.0	2.0											
2017																																																										1.0
20th									1.0																																												3.0					
21st																																																				1.0	3.0					
225																																																						1.0				
25																																																		1.0								
3																																										1.0																
30																																													2.0													
30th																										1.0																																
3d									1.0																																																	
4																							1.0																			1.0					4.0		1.0	2.0			1.0				1.0	1.0
40																																																									1.0	
400																																																									1.0	
41																													1.0																													
48																																							1.0																			
4th																													1.0																													
5																								1.0																		1.0																
50																																			1.0															2.0								
50th																																																		2.0								
6																																										1.0																
60																																																		1.0						1.0		
67									1.0																																																	
6th																													1.0																													
7																																										1.0																
8																																										1.0																
8212	1.0																																																									
9																																										1.0																
