year	name
1789	George Washington
1793	George Washington
1797	John Adams
1801	Thomas Jefferson
1805	Thomas Jefferson
1809	James Madison
1813	James Madison
1817	James Monroe
1821	James Monroe
1825	John Quincy Adams
1829	Andrew Jackson
1833	Andrew Jackson
1837	Martin Van Buren
1841	William Henry Harrison
1845	James K. Polk
1849	Zachary Taylor
1853	Franklin Pierce
1857	James Buchanan
1861	Abraham Lincoln
1865	Abraham Lincoln
1869	Ulysses S. Grant
1873	Ulysses S. Grant
1877	Rutherford B. Hayes
1881	James A. Garfield
1885	Grover Cleveland
1889	Benjamin Harrison
1893	Grover Cleveland
1897	William McKinley
1901	William McKinley
1905	Theodore Roosevelt
1909	William Howard Taft
1913	Woodrow Wilson
1917	Woodrow Wilson
1921	Warren G. Harding
1925	Calvin Coolidge
1929	Herbert Hoover
1933	Franklin D. Roosevelt
1937	Franklin D. Roosevelt
1941	Franklin D. Roosevelt
1945	Franklin D. Roosevelt
1949	Harry S. Truman
1953	Dwight D. Eisenhower
1957	Dwight D. Eisenhower
1961	John F. Kennedy
1965	Lyndon B. Johnson
1969	Richard Nixon
1973	Richard Nixon
1977	Jimmy Carter
1981	Ronald Reagan
1985	Ronald Reagan
1989	George H. W. Bush
1993	Bill Clinton
1997	Bill Clinton
2001	George W. Bush
2005	George W. Bush
2009	Barack Obama
2013	Barack Obama
2017	Donald Trump
